feature,importance
worst_texture,1.3499378964827118
mean_concave_points,1.0757555364481548
worst_radius_delta,1.0210131637315976
worst_concavity,1.0034987593240676
radius_error_pct,0.9590214402641024
compactness_error,0.9019596980901955
worst_symmetry,0.8551873923648095
worst_concave_points,0.8271345496264875
mean_concavity,0.8170521558185528
fractal_dimension_error,0.6930899898904976
worst_radius,0.6736878833168556
worst_area,0.6668890629193313
concave_points_error,0.6508761076774014
radius_error,0.6477212563651537
area_perimeter_ratio,0.6111389002814106
texture_band_low,0.5991497307469291
worst_perimeter,0.5966090837465913
area_error,0.5649764806355245
compactness_to_concavity_ratio,0.5126077831563232
mean_texture,0.47448794013853407
concavity_band_elevated,0.47140608086206304
mean_perimeter,0.45812380311273565
mean_radius,0.4429425728880913
mean_area,0.43159323895613744
texture_band_moderate,0.4213205241561228
mean_compactness,0.38939366879584064
symmetry_error,0.3880813599282232
texture_error,0.3874061537542665
perimeter_error,0.3554397821969175
texture_band_high,0.3510757096880052
worst_smoothness,0.348075943741909
concavity_band_mild,0.32937068610144465
mean_smoothness,0.32447713206680556
concavity_band_severe,0.31528189785782046
radius_band_medium,0.30278039249535993
radius_band_small,0.26480918747301013
concavity_error,0.2577234552369821
smoothness_error,0.24209886721774052
radius_band_large,0.21121770811954574
mean_fractal_dimension,0.20309262798651417
mean_symmetry,0.13944707154164332
worst_fractal_dimension,0.09393624522536768
worst_compactness,0.06832990230080607
